Date,FREN,ZG,SFSN,SLHN,LUKN,PM,PSPN,MOLN,GLKBN,MBTN1,BCGE,LUMX,DAE,FI-N,SGKN,PMN,PLAN,IGPH,BALN,WMN
2019-01-03,11.4749,5654.0575,67.4087,294.0825,76.6255,401.4408,80.36,18.3,22.238,,176.0493,0.1385,115.9543,685.2285,372.4185,428.2286,197.6088,2.0,103.5418,0.0
2019-01-04,11.4828,5576.869,71.5367,294.7026,76.6255,403.14,81.508,18.08,22.1588,,174.2343,0.1655,125.5269,726.2875,382.9433,430.0412,197.6088,1.94,105.8292,0.0
2019-01-07,11.4036,5538.2748,73.3512,294.7801,77.6089,395.9183,81.713,18.2,22.1588,,176.0493,0.1575,131.4871,734.0431,380.9193,422.3376,197.6088,1.85,106.3629,0.0
2019-01-08,11.4907,5538.2748,73.8048,304.0816,77.1992,399.3167,82.656,18.3,21.8423,,175.1418,0.164,132.7514,739.9738,387.3962,425.9628,197.6088,1.84,107.2779,0.0
2019-01-09,11.4432,5731.246,74.576,304.0816,78.1826,413.3353,82.984,18.3,22.1588,,176.9567,0.16,135.0994,763.2406,389.825,440.9168,197.6088,1.7,107.8879,0.0
2019-01-10,11.4036,5673.3546,73.9409,309.5075,78.9202,411.2113,82.902,18.3,22.3962,,177.4105,0.145,134.9188,767.3465,395.897,438.6511,196.7305,1.7,109.6415,0.0
2019-01-11,11.2056,5518.9776,72.58,311.6003,78.7563,407.8128,83.886,18.12,23.1876,,175.1418,0.152,132.9321,765.0654,399.1354,435.0259,197.6088,1.69,110.4802,0.0
2019-01-14,11.0868,5615.4633,71.2645,312.8405,78.1007,394.6439,84.214,17.82,22.9502,,176.503,0.16,130.0422,758.2223,394.2778,420.9781,197.6088,1.75,111.1664,0.0
2019-01-15,11.0077,5673.3546,71.8542,314.0032,77.1172,412.4857,84.378,17.48,22.7128,,176.9567,0.16,130.9453,765.9778,397.921,440.0105,196.7305,1.8,111.9289,0.0
2019-01-16,11.364,5654.0575,74.3945,317.9563,78.6743,408.2376,85.444,17.44,22.7128,,176.0493,0.1595,133.4739,796.0878,402.3739,435.479,197.6088,1.84,114.9787,0.0
2019-01-17,11.2452,5673.3546,73.3058,320.4367,78.4285,404.4144,85.198,16.9,22.238,,177.8642,0.15,132.5708,796.544,405.6123,431.4006,197.6088,1.8,115.1312,0.0
2019-01-18,11.364,5673.3546,75.4832,323.3047,79.0021,411.6361,84.132,16.22,22.5545,,177.4105,0.1595,135.28,812.5113,404.8027,439.1042,197.6088,1.85,117.1136,0.0
2019-01-21,11.364,5654.0575,74.3945,324.9325,79.0021,430.7523,83.64,16.6,22.238,,176.9567,0.16,135.6413,810.6865,404.8027,459.4961,197.6088,1.85,117.6473,0.0
2019-01-22,11.4036,5692.6518,73.8502,321.7544,78.0187,426.5043,83.722,16.6,22.1588,,177.4105,0.159,136.9056,798.3688,404.8027,454.9645,196.7305,1.8,117.4948,0.0
2019-01-23,11.4036,5673.3546,74.4853,322.297,78.2646,414.1849,84.05,16.78,22.1588,,176.9567,0.149,137.4474,782.4014,406.4219,441.8231,196.7305,1.75,117.8761,0.0
2019-01-24,11.1264,5711.9489,74.7574,325.32,78.4285,428.2035,83.312,16.8,22.5545,,177.4105,0.149,137.8086,791.5256,406.4219,456.7771,196.7305,1.75,118.8673,0.0
2019-01-25,11.4432,5711.9489,72.6708,319.5841,78.1007,429.0531,82.656,17.34,22.8711,,178.3179,0.1575,139.7954,793.3505,405.6123,457.6834,196.7305,1.75,118.5623,0.0
2019-01-28,11.3244,5731.246,71.945,318.6539,78.1826,423.9554,82.984,17.62,23.0294,,177.8642,0.157,138.5311,792.8943,404.8027,452.2456,197.6088,1.78,117.4186,0.0
2019-01-29,11.3244,5808.4345,73.5327,321.0568,77.3631,417.5833,83.558,18.0,22.4754,,176.9567,0.1545,137.628,792.4381,407.2315,445.4483,195.8523,1.75,118.4098,0.0
2019-01-30,11.3244,5769.8403,73.3058,320.2817,76.8714,415.4593,84.46,18.0,22.7919,,177.8642,0.1565,137.8086,800.6499,405.6123,443.1826,195.8523,1.77,118.791,0.0
2019-01-31,11.2452,5847.0288,72.3986,317.2587,78.0187,413.7601,83.804,17.46,22.7128,,177.4105,0.1565,135.28,802.4747,402.3739,441.37,196.7305,1.75,117.1898,0.0
2019-02-01,11.0868,5789.1374,73.578,319.8166,76.7894,403.14,84.05,17.88,22.7128,,178.7717,0.1555,136.0025,789.7008,394.6826,430.0412,194.974,1.75,118.2573,0.0
2019-02-04,11.2056,5808.4345,73.578,319.274,77.445,409.9369,84.05,17.46,22.7128,,177.8642,0.156,137.4474,788.3322,397.921,437.2916,195.8523,1.75,117.8761,0.0
2019-02-05,11.2056,5789.1374,74.8028,320.0492,77.527,420.9818,84.214,17.5,22.4754,,178.7717,0.152,138.1699,802.9309,393.4682,449.0736,196.7305,1.75,118.7148,0.0
2019-02-06,11.3244,5847.0288,75.5286,319.7391,77.2811,418.433,84.214,18.06,22.7919,,177.8642,0.152,139.7954,811.5989,394.6826,446.3546,196.7305,1.8,118.9435,0.0
2019-02-07,11.2056,5827.7316,73.9409,315.0109,77.6909,407.8128,84.542,17.48,22.5545,,178.3179,0.152,135.8219,785.1387,395.0874,435.0259,195.8523,1.75,117.7236,0.0
2019-02-08,11.2056,5789.1374,70.9924,313.3831,78.4285,407.8128,84.706,17.86,22.6337,,178.7717,0.152,128.4167,757.7661,390.6346,435.0259,197.6088,1.72,116.7324,0.0
2019-02-11,11.2056,5769.8403,71.7635,317.8788,79.166,408.2376,85.116,17.32,23.5042,,177.4105,0.1325,131.8484,765.9778,394.6826,435.479,197.6088,1.73,117.4186,0.0
2019-02-12,11.0868,5769.8403,72.3079,318.4989,78.6743,410.3617,84.788,18.06,23.5833,,177.8642,0.1465,132.2096,781.9452,395.0874,437.7448,197.6088,1.65,118.4098,0.0
2019-02-13,11.2056,5769.8403,74.3038,319.9717,77.8548,408.6624,84.296,17.58,23.5833,,176.9567,0.1425,132.5708,810.6865,393.4682,435.9322,195.8523,1.64,119.096,0.0
